"City","Country","State","Region","Name","lat","lon"
"Taipei","Taiwan","","Asia","Chinese Academy of R Software",25.09108,121.60983
"Taipei","Taiwan","","Asia","Taiwan UseR Group",25.09108,121.50983
"Madrid","Spain","","Europe","Comunidad R Hispano",40.41678,-3.65379
"Madrid","Spain","","Europe","Grupo de Interés Local de Madrid",40.41678,-3.75379
"Paris","France","","Europe","R Addicts Paris",48.85661,2.40222
"Paris","France","","Europe","Semin-R",48.85661,2.30222
"New York","United States","NY","North America","Columbia R Statistical Programming Group",40.71278,-73.95594
"New York","United States","NY","North America","New York R Statistical Programming Meetup",40.71278,-74.05594
"San Diego","United States","CA","North America","San Dego Data Science",32.71574,-117.11108
"San Diego","United States","CA","North America","San Diego R Users Group",32.71574,-117.21108
"San Francisco","United States","CA","North America","Bay Area useR Group (BARUG)",37.77493,-122.36942
"San Francisco","United States","CA","North America","R-Ladies SF",37.77493,-122.46942
"Toronto","Canada","","North America","GTA R User's Group",43.65,-79.33
"Toronto","Canada","","North America","R Matlab Users",43.65,-79.43
"Bangalore","India","","Asia","Bangalore R Users",12.97,77.56
"Chiang Mai","Thailand","","Asia","Chiang Mai R User Group",18.78775,98.99313
"Chiba","Japan","","Asia","Kashiwa R",35.61,140.11
"Chennai","India","","Asia","R Users Group Chennai",13.05241,80.25082
"Hong Kong","China","","Asia","Hong Kong R User Group (HKRUG)",22.39643,114.1095
"Kaohsiung","Taiwan","","Asia","Kaohsiung R Users",23.01087,120.666
"Macao","China","","Asia","R-Research",22.19874,113.54387
"Manila","Philippines","","Asia","R User Group - Philippines",14.62,120.97
"Mumbai","India","","Asia","mumbai-r-user-group",19.07598,72.87766
"Nagoya","Japan","","Asia","Nagoya R",35.15,136.91
"New Delhi","India","","Asia","New Delhi UseR Group",28.63531,77.22496
"Osaka","Japan","","Asia","Osaka R",34.68,135.5
"Pune","India","","Asia","Pune R User Group",18.53,73.84
"Seoul","South Korea","","Asia","Korea R User's Group",37.56654,126.97797
"Shanghai","China","","Asia","Shanghai-R",31.23,121.47
"Singapore","Singapore","","Asia","R User Group Singapore (RUGS)",1.3,103.85
"Tokyo","Japan","","Asia","Tokyo R",35.68949,139.69171
"Tsukuba","Japan","","Asia","Tsukuba R",36.08349,140.07664
"Amsterdam","Netherlands","","Europe","amst-R-dam",52.37,4.89
"Ankara","Turkey","","Europe","Turkish Community of R",39.93,32.85
"Barcelona","Spain","","Europe","RUGBCN",41.4,2.17
"Basel","Switzerland","","Europe","BaselR",47.57,7.58
"Belfast","Ireland","","Europe","Belfast R users group",54.60249,-5.92798
"Belgrade","Serbia","","Europe","Sav taj R",44.83,20.5
"Birmingham","United Kingdom","","Europe","Birmingham R Users Meeting (BRUM)",52.48,-1.91
"Brussels","Belgium","","Europe","RBelgium",50.83,4.33
"Bucharest","Romania","","Europe","R-omania Team",44.44,26.1
"Budapest","Hungary","","Europe","Budapest Users of R Network (BURN)",47.49791,19.04023
"Cambridge","United Kingdom","","Europe","CambR",52.20534,0.12182
"Copenhagen","Denmark","","Europe","CopenhagenR - useR Group",55.68,12.57
"Dresden","Germany","","Europe","R User Group Dresden",51.05041,13.73726
"Dublin","Ireland","","Europe","Diblin-R",53.33,-6.25
"Edinburgh","United Kingdom","","Europe","R Users Group and Modelling Systems Community",55.95325,-3.18827
"Enschede","Netherlands","","Europe","Twente R User Group (TRUG)",52.22,6.89
"Exeter","United Kingdom","","Europe","Exeter R Users Group",50.71841,-3.5339
"Geneva","Switzerland","","Europe","GenevaR",46.21,6.14
"Glasgow","United Kingdom","","Europe","GlasgowR",55.87,-4.27
"Helsinki","Finland","","Europe","Finnish Society for Bioinformatics",60.17,24.94
"Kassel","Germany","","Europe","Kasseler useR Group",51.32,9.48
"Koeln","Germany","","Europe","Koeln R User Group",50.93753,6.96028
"Leipzig","Germany","","Europe","Leipzig R Statistical Computing",51.35,12.4
"Ljubljana","Slovenia","","Europe","Annonymous Rcoholics",46.06,14.51
"London","United Kingdom","","Europe","LondonR",51.50735,-0.12776
"Luxembourg","Luxembourg","","Europe","LuxR",49.61162,6.13193
"Lyon","France","","Europe","RLyon",45.76,4.83
"Manchester","United Kingdom","","Europe","ManchesterR",53.48,-2.25
"Mannheim","Germany","","Europe","R User Group Rhein-Neckar",49.5,8.47
"Marburg","Germany","","Europe","Marbug R Local User Group",50.8,8.77
"Milan","Italy","","Europe","MilanoR",45.46542,9.18592
"Montpellier","France","","Europe","Groupe des utilisateurs du logiciel R",43.61,3.87
"Munich","Germany","","Europe","Munich useR Group",48.14,11.58
"Nuernberg","Germany","","Europe","NuernbergR",49.45203,11.07675
"Padua","Italy","","Europe","Italy-RUG Rante",45.40643,11.87676
"Perm","Russia","","Europe","PeRm R Group",58,56.31667
"Poznan","Poland","","Europe","Poznan R Users",52.4,16.9
"Sheffield","United Kingdom","","Europe","Sheffield R Users Group",53.39,-1.48
"Stockholm","Sweden","","Europe","Stockholm R useR Group (StockholmR)",59.33,18.07
"Zurich","Switzerland","","Europe","GenevaR",47.38,8.54
"Torino","Italy","","Europe","Torino R net",45.07031,7.68686
"Vienna","Austria","","Europe","Vienna<-R",48.22,16.37
"Vilnius","Lithuania","","Europe","VilniusR",54.7,25.27
"Warsaw","Poland","","Europe","Annual Polish R User Group Meeting",52.26,21.02
"Wiesbaden","Germany","","Europe","Wiesbaden R Users Group",50.08,8.23
"Cairo","Egypt","","Middle East or Africa","Cairo Bioinformatics Group",30.06,31.25
"Dakar","Senegal","","Middle East or Africa","DakaR R User Group (DRUG)",14.7645,-17.36603
"Durban","South Africa","","Middle East or Africa","Durban R User Group",-29.87,30.99
"Tel Aviv","Isreal","","Middle East or Africa","Israel R user Group",32.0853,34.78177
